temperature,Season,TotalCount
0.0,Autumn,1.0
2.0,Summer,1.0
4.0,Autumn,1.0
4.0,Spring,1.0
4.0,Winter,1.0
5.0,Spring,1.0
6.0,Autumn,1.25
6.0,Spring,1.8529411764705883
6.0,Summer,1.6774193548387097
6.0,Winter,1.5833333333333333
7.0,Autumn,1.375
7.0,Spring,2.566666666666667
7.0,Summer,1.3
7.0,Winter,1.7142857142857142
7.5,Autumn,0.0
8.0,Autumn,2.043859649122807
8.0,Spring,1.9090909090909092
8.0,Summer,2.0338983050847457
8.0,Winter,1.561904761904762
9.0,Autumn,2.5491329479768785
9.0,Spring,1.9672131147540983
9.0,Summer,1.6391752577319587
9.0,Winter,1.8333333333333333
10.0,Autumn,2.14
10.0,Spring,2.0806451612903225
10.0,Summer,1.6814159292035398
10.0,Winter,1.6814814814814816
10.5,Spring,1.0
11.0,Autumn,4.755417956656347
11.0,Spring,2.159159159159159
11.0,Summer,2.0688073394495414
11.0,Winter,2.1412103746397695
12.0,Autumn,2.2583892617449663
12.0,Spring,2.8421052631578947
12.0,Summer,2.8992805755395685
12.0,Winter,2.5434298440979957
13.0,Autumn,2.6672158154859966
13.0,Spring,2.395306859205776
13.0,Summer,2.0499390986601704
13.0,Winter,2.1937716262975777
13.5,Autumn,1.0
14.0,Autumn,3.183406113537118
14.0,Spring,2.8834498834498836
14.0,Summer,2.5861214374225527
14.0,Winter,2.440051020408163
15.0,Autumn,2.7997416020671833
15.0,Spring,2.32185628742515
15.0,Summer,2.8970588235294117
15.0,Winter,2.7516297262059974
15.5,Autumn,2.125
15.5,Spring,1.1
16.0,Autumn,3.7309284447072737
16.0,Spring,3.763173834039976
16.0,Summer,4.58457711442786
16.0,Winter,2.9677826910928617
16.3,Spring,1.0
17.0,Autumn,3.6148290804044296
17.0,Spring,3.046794571829668
17.0,Summer,3.504541701073493
17.0,Winter,3.696283639470312
17.5,Autumn,4.0
17.5,Spring,1.0
18.0,Autumn,3.452695465905034
18.0,Spring,2.971264367816092
18.0,Summer,3.2498274672187715
18.0,Winter,3.2821128451380552
18.5,Spring,1.1111111111111112
19.0,Autumn,2.9540768509840674
19.0,Spring,3.234139662254678
19.0,Summer,3.042299794661191
19.0,Winter,3.6751269035532994
19.1,Winter,8.666666666666666
19.5,Spring,3.25
20.0,Autumn,3.4483685220729368
20.0,Spring,3.7262621584066697
20.0,Summer,3.4284655300222386
20.0,Winter,3.7554585152838427
20.5,Spring,1.4
21.0,Autumn,3.0965034965034963
21.0,Spring,2.8538888888888887
21.0,Summer,3.518213058419244
21.0,Winter,2.9772151898734176
22.0,Autumn,2.953795379537954
22.0,Spring,3.511159107271418
22.0,Summer,3.160842754367934
22.0,Winter,3.6939890710382515
23.0,Autumn,3.3352788586251623
23.0,Spring,3.2380434782608694
23.0,Summer,3.1928620452985585
23.0,Winter,4.143322475570033
23.5,Summer,1.0909090909090908
24.0,Autumn,3.0388726919339164
24.0,Spring,4.130559540889527
24.0,Summer,3.791762013729977
24.0,Winter,4.003484320557491
25.0,Autumn,3.244865718799368
25.0,Spring,3.2162162162162162
25.0,Summer,3.6152694610778444
25.0,Winter,2.5506072874493926
26.0,Autumn,4.256900212314225
26.0,Spring,2.9583333333333335
26.0,Summer,2.7445255474452557
26.0,Winter,2.7781954887218046
27.0,Autumn,4.550432276657061
27.0,Spring,2.311926605504587
27.0,Summer,2.5688073394495414
27.0,Winter,3.7517241379310344
28.0,Autumn,2.634920634920635
28.0,Spring,2.5660377358490565
28.0,Summer,2.264705882352941
28.0,Winter,3.4242424242424243
29.0,Autumn,3.9695652173913043
29.0,Spring,1.9855072463768115
29.0,Summer,3.5
29.0,Winter,2.578231292517007
30.0,Autumn,2.8666666666666667
30.0,Spring,3.289473684210526
30.0,Summer,4.763888888888889
30.0,Winter,8.564102564102564
31.0,Autumn,2.176470588235294
31.0,Spring,2.75
31.0,Summer,1.875
31.0,Winter,5.222222222222222
32.0,Autumn,3.6
32.0,Spring,1.0
32.0,Summer,3.0
32.0,Winter,3.5142857142857142
34.0,Spring,2.4615384615384617
34.0,Winter,1.5
35.0,Autumn,58.0
35.0,Spring,7.5
35.0,Summer,2.3636363636363638
35.0,Winter,3.125
